"","x"
"1","Per.Share.Net.profit.before.tax..Yuan..."
"2","Net.Income.to.Total.Assets"
"3","ROA.C..before.interest.and.depreciation.before.interest"
"4","Operating.Gross.Margin"
"5","Realized.Sales.Gross.Margin"
"6","Operating.Profit.Rate"
"7","Pre.tax.net.Interest.Rate"
"8","After.tax.net.Interest.Rate"
"9","Non.industry.income.and.expenditure.revenue"
"10","Operating.Expense.Rate"
"11","Continuous.interest.rate..after.tax."
"12","Tax.rate..A."
"13","Current.Ratio"
"14","Regular.Net.Profit.Growth.Rate"
"15","Cash.Current.Liability"
"16","Realized.Sales.Gross.Profit.Growth.Rate"
"17","Total.Asset.Growth.Rate"
"18","Allocation.rate.per.person"
"19","Revenue.Per.Share..Yuan..."
"20","Working.capitcal.Turnover.Rate"
"21","Current.Liability.to.Assets"
"22","Inventory.Working.Capital"
"23","Operating.Funds.to.Liability"
"24","Revenue.per.person"
"25","Quick.Ratio"
"26","Current.Liabilities.Liability"
"27","Inventory.Current.Liability"
"28","Total.debt.Total.net.worth"
"29","Quick.Assets.Current.Liability"
"30","Net.Value.Per.Share..A."
"31","Gross.Profit.to.Sales"
"32","Current.Liability.to.Liability"
"33","Long.term.fund.suitability.ratio..A."
"34","Operating.Profit.Growth.Rate"
"35","Interest.Coverage.Ratio..Interest.expense.to.EBIT."
"36","Long.term.Liability.to.Current.Assets"
"37","Cash.Flow.to.Liability"
"38","Liability.Assets.Flag"
"39","After.tax.Net.Profit.Growth.Rate"
"40","Interest.bearing.debt.interest.rate"
"41","Continuous.Net.Profit.Growth.Rate"
"42","Net.Value.Per.Share..B."
"43","Current.Asset.Turnover.Rate"
"44","No.credit.Interval"
"45","Liability.to.Equity"
"46","Cash.Flow.to.Total.Assets"
"47","ROA.B..before.interest.and.depreciation.after.tax"
"48","Degree.of.Financial.Leverage..DFL."
"49","Working.Capital.Equity"
"50","Research.and.development.expense.rate"
"51","Cash.flow.rate"
"52","Fixed.Assets.to.Assets"
"53","Cash.Flow.Per.Share"
"54","Total.income.Total.expense"
"55","Borrowing.dependency"
"56","Inventory.and.accounts.receivable.Net.value"
"57","Contingent.liabilities.Net.worth"
"58","Cash.Flow.to.Sales"
"59","Net.Worth.Turnover.Rate..times."
"60","Working.Capital.to.Total.Assets"
"61","Persistent.EPS.in.the.Last.Four.Seasons"
"62","Total.Asset.Return.Growth.Rate.Ratio"
"63","Total.assets.to.GNP.price"
"64","Interest.Expense.Ratio"
"65","Net.Value.Growth.Rate"
"66","Current.Assets.Total.Assets"
"67","Average.Collection.Days"
"68","Quick.Asset.Turnover.Rate"
"69","Net.Value.Per.Share..C."
"70","Net.profit.before.tax.Paid.in.capital"
"71","Accounts.Receivable.Turnover"
"72","Operating.profit.per.person"
"73","Quick.Assets.Total.Assets"
"74","Operating.Profit.Per.Share..Yuan..."
"75","Cash.Total.Assets"
"76","Inventory.Turnover.Rate..times."
"77","Net.Income.to.Stockholder.s.Equity"
"78","Net.worth.Assets"
"79","Total.expense.Assets"
"80","Operating.profit.Paid.in.capital"
"81","Cash.Turnover.Rate"
"82","Debt.ratio.."
"83","Fixed.Assets.Turnover.Frequency"
"84","Retained.Earnings.to.Total.Assets"
"85","ROA.A..before.interest.and...after.tax"
"86","Cash.Reinvestment.."
"87","Current.Liability.to.Current.Assets"
"88","Cash.Flow.to.Equity"
"89","Equity.to.Long.term.Liability"
"90","Total.Asset.Turnover"
"91","Current.Liabilities.Equity"
"92","Current.Liability.to.Equity"
"93","CFO.to.Assets"
"94","Equity.to.Liability"
